municipio,total,abr,mai,jun,jul,ago,set,out,nov,dez
ABAETETUBA,278.896736,47.8824,50.3778,40.5864,7.665,48.3042,25.351421,17.947671,21.170138,19.611706
ABEL FIGUEIREDO,13.098772,2.1318,2.2968,1.6824,0.4806,2.1876,1.319696,0.867847,1.096345,1.035684
ACARA,103.398332,17.5776,18.3852,14.7624,2.889,17.5944,9.607557,6.670353,8.171198,7.740624
AFUA,56.352966,9.9846,10.3098,8.7666,1.1322,9.9102,4.730799,3.440811,4.132415,3.945541
AGUA AZUL DO NORTE,22.714057,3.8328,4.0524,3.345,0.576,3.8844,2.091929,1.501048,1.773528,1.656952
ALENQUER,113.641239,18.4998,19.518,15.1572,3.345,18.4794,11.347691,7.997331,9.78697,9.509847
ALMEIRIM,49.147982,8.5818,9.2724,7.5318,1.3692,8.877,4.133254,2.795982,3.429513,3.157033
ALTAMIRA,196.44187,27.351,31.4496,20.727,8.8212,29.7084,23.871393,15.682892,20.060475,18.76991
ANAJAS,41.097513,7.3776,7.6968,6.6072,0.9372,7.4352,3.26817,2.302461,2.853607,2.619275
ANANINDEUA,804.593142,109.1202,126.0054,75.8586,38.7144,115.5138,105.208198,66.602315,86.863377,80.706852
ANAPU,58.154785,9.2232,10.0446,7.8618,1.8984,9.678,5.80094,3.983216,4.996597,4.668032
AUGUSTO CORREA,72.25953,12.5154,13.1076,10.9572,1.6608,12.6252,6.217154,4.518362,5.413686,5.244128
AURORA DO PARA,41.260124,6.7908,7.1496,5.6706,1.2492,6.8922,3.942825,2.832735,3.428017,3.304147
AVEIRO,17.637063,3.0888,3.1944,2.691,0.4068,3.1332,1.518125,1.079767,1.292927,1.232044
BAGRE,32.030885,5.6298,5.9772,4.9038,0.8706,5.7078,2.705773,1.868098,2.327809,2.040005
BAIAO,55.954359,9.6942,10.4016,8.31,1.5336,9.912,5.043046,3.436852,4.047803,3.575258
BANNACH,5.602427,0.7914,0.936,0.627,0.2616,0.888,0.634928,0.42801,0.536236,0.499253
BARCARENA,197.025292,28.941,32.6274,22.2342,8.4012,30.63,23.097063,14.978202,18.810633,17.305594
BELEM,2248.141445,308.5236,355.7166,227.703,104.2518,331.1394,284.134089,183.058452,235.925878,217.688626
BELTERRA,30.637848,4.8792,5.2536,3.8838,1.0236,4.9746,3.232774,2.169427,2.665412,2.555435
BENEVIDES,117.518646,18.5556,20.2854,15.0252,4.2846,19.2942,12.16068,8.135378,10.187273,9.590315
BOM JESUS DO TOCANTINS,23.184512,3.6942,3.9822,2.9946,0.75,3.7482,2.381887,1.660376,2.041312,1.931737
BONITO,22.084635,3.5652,3.8196,2.8656,0.702,3.6414,2.291641,1.521297,1.861689,1.816208
BRAGANCA,207.67269,32.3202,35.2176,25.89,7.029,32.9958,22.124219,15.124209,18.895282,18.07638
BRASIL NOVO,34.792036,5.2884,5.8416,4.1592,1.2714,5.472,3.857631,2.560218,3.240373,3.101214
BREJO GRANDE DO ARAGUAIA,11.260662,1.833,1.989,1.4454,0.3852,1.8552,1.141854,0.765283,0.931369,0.914356
BREU BRANCO,72.222004,11.646,12.7014,10.0068,2.2056,12.135,7.06424,4.947843,5.969923,5.545198
BREVES,163.577665,27.12,28.8768,23.2134,4.6932,27.5544,15.418409,10.918597,13.361444,12.421415
BUJARU,42.112084,7.7634,8.0088,6.7878,0.9144,7.734,3.191812,2.27424,2.790023,2.647609
CACHOEIRA DO ARARI,28.856711,4.7598,4.9518,4.137,0.6774,5.1264,2.410094,1.868704,2.246263,2.67925
CACHOEIRA DO PIRIA,30.714895,5.6418,5.8512,5.1546,0.6024,5.7828,2.241778,1.664945,1.933958,1.841414
CAMETA,209.91825,35.5464,38.3046,28.7532,7.5012,36.0846,20.999272,13.924486,15.549923,13.254569
CANAA DOS CARAJAS,80.951271,10.7418,13.0818,7.7274,4.3452,11.8608,10.66534,6.529944,8.29725,7.701737
CAPANEMA,118.682484,16.8468,19.3386,13.2474,5.046,18.234,13.931636,9.373558,11.684947,10.979543
CAPITAO POCO,94.707714,15.2862,16.3674,11.979,3.2766,15.1896,9.691206,6.672716,8.271183,7.973809
CASTANHAL,323.681524,43.6266,50.7864,31.0584,15.5298,46.3902,42.13541,26.721205,34.937107,32.496402
CHAVES,24.25149,4.425,4.5834,3.9984,0.4872,4.5108,1.768721,1.316393,1.613553,1.548023
COLARES,20.19865,3.3138,3.5148,2.8026,0.5712,3.4092,1.934542,1.384327,1.670986,1.597195
CONCEICAO DO ARAGUAIA,70.816554,9.9372,11.4954,6.8898,3.5442,10.4184,8.82608,5.621541,7.17683,6.907103
CONCORDIA DO PARA,49.842688,8.3976,8.8716,7.1052,1.4382,8.541,4.616056,3.159336,3.964052,3.749644
CUMARU DO NORTE,15.082192,2.3712,2.5764,1.9632,0.4914,2.4768,1.566877,1.062055,1.325353,1.248907
CURIONOPOLIS,35.218925,5.6682,6.1848,4.5828,1.1724,5.784,3.657911,2.399723,2.95493,2.814161
CURRALINHO,39.286272,6.6804,6.9942,5.7174,1.0566,7.0044,3.323064,2.386474,2.987681,3.136053
CURUA,20.981445,3.534,3.7572,2.982,0.5382,3.5556,1.939007,1.365653,1.667344,1.642441
CURUCA,69.166248,11.8848,12.5646,10.4034,1.6638,12.0204,5.987865,4.361675,5.231866,5.047842
DOM ELISEU,67.154272,10.0524,11.28,7.5756,2.79,10.41,7.642798,5.021214,6.317539,6.064721
ELDORADO DOS CARAJAS,50.585625,7.7526,8.55,5.7594,1.9692,7.83,5.746964,3.755341,4.705508,4.516612
FARO,13.911166,2.4168,2.4912,2.1348,0.3396,2.5104,1.152059,0.860646,1.046486,0.959175
FLORESTA DO ARAGUAIA,33.824886,5.0094,5.5974,3.8424,1.467,5.283,3.85478,2.53844,3.18754,3.044926
GARRAFAO DO NORTE,46.963582,7.863,8.2548,6.48,1.4802,7.9536,4.461999,3.051506,3.794423,3.624054
GOIANESIA DO PARA,44.161376,6.9186,7.5996,5.4156,1.5996,7.08,4.713184,3.124321,3.95364,3.756831
GURUPA,44.562448,8.4534,8.8158,7.7304,0.834,8.5398,3.04755,2.106378,2.623429,2.411691
IGARAPE-ACU,68.865189,10.9716,11.6292,8.9712,2.0016,11.0358,7.100935,5.003432,6.21367,5.937752
IGARAPE-MIRI,117.870285,18.4878,19.7502,14.4774,4.3794,18.8742,12.514169,8.616511,10.713325,10.05728
INHANGAPI,17.49723,2.901,3.0762,2.4282,0.4842,2.91,1.694714,1.190841,1.44179,1.370285
IPIXUNA DO PARA,53.048308,9.3936,9.9324,8.1258,1.3686,9.4014,4.379908,3.121903,3.731588,3.593109
IRITUIA,59.015733,9.8136,10.266,7.9956,1.6734,9.6624,5.759932,4.053419,4.989441,4.801941
ITAITUBA,194.792912,28.107,31.32,21.7614,7.8054,30.2268,23.033871,15.063323,19.434449,18.040669
ITUPIRANGA,75.301786,11.8638,12.912,9.8982,2.4264,12.369,7.703644,5.343014,6.599151,6.186577
JACAREACANGA,22.919378,3.8244,4.1022,3.4626,0.5892,4.038,2.041179,1.458652,1.774773,1.628374
JACUNDA,72.478843,11.79,12.774,9.8886,2.2866,12.0828,7.041509,4.88062,6.002726,5.731988
JURUTI,70.695679,10.9152,12.036,8.9556,2.5908,11.4546,7.512465,5.081663,6.294227,5.855124
LIMOEIRO DO AJURU,41.567855,7.506,7.8072,6.6414,0.9102,7.5828,3.422088,2.476908,2.741234,2.480025
MAE DO RIO,63.838275,10.5726,11.2134,8.6418,2.0184,10.6086,6.189637,4.259259,5.265331,5.069248
MAGALHAES BARATA,13.002232,2.1156,2.2224,1.6896,0.4254,2.1348,1.303869,0.908872,1.125784,1.075907
MARABA,399.021747,52.9086,61.929,37.5726,20.3082,58.7412,52.04711,32.947473,42.585229,39.982335
MARACANA,54.319365,9.2466,9.4986,7.824,1.32,9.2952,5.029947,3.563293,4.343309,4.198416
MARAPANIM,44.704085,7.2696,7.7382,5.9562,1.4016,7.359,4.435018,3.093821,3.796159,3.654487
MARITUBA,195.778925,29.067,32.2668,21.6534,8.0814,30.012,22.853248,14.837692,19.098466,17.908919
MEDICILANDIA,44.178084,7.1958,7.7298,6.3528,1.1484,7.5192,4.154639,3.027747,3.636525,3.413173
MELGACO,31.204052,5.7018,5.9064,5.0406,0.8142,5.802,2.342176,1.652867,2.023463,1.920546
MOCAJUBA,52.81586,9.579,10.098,8.4822,1.2972,9.894,4.178674,2.862412,3.376528,3.047846
MOJU,127.952333,22.2678,23.2902,18.7842,3.291,22.1826,11.390792,7.925599,9.626795,9.193347
MOJUI DOS CAMPOS,34.02853,5.5884,5.9412,4.563,0.9678,5.5956,3.385346,2.335496,2.875998,2.77569
MONTE ALEGRE,106.208712,16.9116,18.147,13.9788,3.219,17.1852,10.896212,7.713126,9.323687,8.834087
MUANA,43.509024,7.4346,7.7502,6.5274,0.9894,7.77,3.563887,2.672658,3.218797,3.582082
NOVA ESPERANCA DO PIRIA,35.851741,6.3414,6.6216,5.5506,0.819,6.414,2.948956,2.095697,2.603197,2.457291
NOVA IPIXUNA,21.236924,3.249,3.5544,2.4642,0.7836,3.3192,2.384136,1.567444,1.993872,1.921072
NOVA TIMBOTEUA,22.535255,3.6522,3.8892,3.0672,0.6366,3.7092,2.224416,1.594503,1.922142,1.839794
NOVO PROGRESSO,52.972772,6.2454,7.7958,4.7616,2.8206,7.4676,7.30142,4.748038,6.229132,5.603182
NOVO REPARTIMENTO,102.673149,14.0832,16.3524,11.418,4.3362,15.4926,12.262883,8.360052,10.549538,9.818276
OBIDOS,76.299752,12.105,13.233,9.909,2.5968,12.4746,7.935232,5.393463,6.644552,6.008105
OEIRAS DO PARA,43.16707,8.175,8.5182,7.4556,0.8922,8.3364,2.934828,2.08594,2.45729,2.311612
ORIXIMINA,109.404147,16.5672,18.3138,13.5816,3.8154,17.1774,12.000444,8.196686,10.194112,9.557505
OUREM,33.027032,5.403,5.6988,4.4418,1.0068,5.5164,3.220664,2.268383,2.79436,2.676825
OURILANDIA DO NORTE,55.549008,8.0604,9.1644,6.2844,2.2746,8.5422,6.501339,4.257173,5.378711,5.085785
PACAJA,66.548764,11.3604,12.0972,10.1406,1.6782,11.7744,5.690455,4.168149,4.950517,4.688843
PALESTINA DO PARA,12.078695,2.1162,2.2194,1.821,0.2856,2.1378,1.029878,0.733632,0.885102,0.850083
PARAGOMINAS,164.418456,23.7582,27.135,18.0726,6.7752,24.8988,19.680537,12.736089,16.092832,15.269198
PARAUAPEBAS,325.694405,41.5608,51.2688,29.2602,17.8932,46.9308,44.421021,27.322247,34.816921,32.220416
PAU D'ARCO,12.452193,1.9692,2.1354,1.5402,0.471,1.9992,1.327509,0.872404,1.086381,1.050899
PEIXE-BOI,13.219226,2.1396,2.2818,1.6686,0.4158,2.1054,1.378672,0.92278,1.172088,1.134486
PICARRA,20.012272,2.9982,3.3624,2.3886,0.8592,3.1746,2.211499,1.470999,1.826791,1.719983
PLACAS,26.723237,4.6638,4.8828,4.1406,0.5892,4.701,2.247516,1.657649,1.968465,1.872207
PONTA DE PEDRAS,34.554596,5.3556,5.6598,4.5948,0.9582,5.988,3.181118,2.422449,2.944443,3.450186
PORTEL,85.787826,12.7158,13.8456,11.1582,2.9196,14.1486,8.917038,6.613139,8.242501,7.227348
PORTO DE MOZ,45.463993,8.2326,8.6214,7.3542,0.9768,8.4258,3.561196,2.433528,3.001146,2.857323
PRAINHA,55.457501,10.2066,10.5762,9.228,0.9768,10.3224,4.180908,3.03914,3.60195,3.325503
PRIMAVERA,19.271369,3.282,3.4728,2.6616,0.6012,3.2994,1.792181,1.211905,1.496581,1.453702
QUATIPURU,19.473038,3.3552,3.5196,2.9604,0.4302,3.4242,1.67352,1.240615,1.471181,1.398122
REDENCAO,137.759607,17.8368,21.5046,13.1154,7.1424,19.9536,17.992658,11.666345,14.805033,13.742771
RIO MARIA,29.06598,3.9156,4.6032,2.8752,1.3968,4.2654,3.691422,2.381108,3.055002,2.882248
RONDON DO PARA,62.194249,8.7786,10.089,6.8286,2.6592,9.3432,7.39387,4.94011,6.289196,5.872473
RUROPOLIS,40.013807,6.5682,7.0074,5.6796,1.1166,6.8274,3.807001,2.701901,3.240337,3.065368
SALINOPOLIS,76.230756,10.7016,12.33,8.5404,3.4242,11.7156,9.007231,5.94602,7.502576,7.063129
SALVATERRA,36.698099,6.0768,6.465,5.1048,1.1238,6.3888,3.372981,2.378296,2.867144,2.920478
SANTA BARBARA DO PARA,37.391102,5.6262,6.1908,4.3236,1.4598,5.7876,4.205772,2.832086,3.563271,3.401973
SANTA CRUZ DO ARARI,11.616883,2.0196,2.1042,1.8636,0.2322,2.2002,0.880399,0.677779,0.798538,0.840367
SANTA ISABEL DO PARA,111.12579,15.7032,17.5788,11.964,4.6548,16.677,13.407888,8.970956,11.53969,10.629456
SANTA LUZIA DO PARA,37.003088,6.3552,6.6294,5.4234,0.9222,6.435,3.325682,2.337288,2.852819,2.722099
SANTA MARIA DAS BARREIRAS,26.502677,4.2882,4.581,3.3996,0.8982,4.3062,2.715937,1.838601,2.287233,2.187706
SANTA MARIA DO PARA,47.454108,7.1334,7.818,5.7258,1.6914,7.3986,5.22308,3.623992,4.5526,4.287236
SANTANA DO ARAGUAIA,52.373616,7.9998,8.8368,6.7872,1.7622,8.4486,5.485547,3.888988,4.705749,4.458732
SANTAREM,554.053724,78.8904,89.2542,58.002,24.0192,83.2008,67.769262,43.747114,56.348983,52.821765
SANTAREM NOVO,13.859869,2.466,2.5416,2.0952,0.2946,2.4258,1.214024,0.844418,1.01222,0.966007
SANTO ANTONIO DO TAUA,52.780426,8.1132,8.8344,6.6498,1.761,8.4066,5.668309,3.879897,4.872621,4.594599
SAO CAETANO DE ODIVELAS,29.436183,4.734,5.01,4.0014,0.828,4.8264,2.929057,2.102785,2.585783,2.418758
SAO DOMINGOS DO ARAGUAIA,37.82972,5.8644,6.402,4.728,1.398,6.1542,3.991966,2.741801,3.341524,3.207829
SAO DOMINGOS DO CAPIM,46.00197,8.16,8.5188,7.1634,1.026,8.1258,3.815241,2.794559,3.297564,3.100606
SAO FELIX DO XINGU,95.694613,14.331,15.8562,12.2688,3.3198,15.486,10.206342,7.143165,8.877453,8.205853
SAO FRANCISCO DO PARA,28.959069,4.551,4.9014,3.663,0.9,4.6734,3.089536,2.091907,2.591673,2.497153
SAO GERALDO DO ARAGUAIA,42.83735,6.2538,7.0194,5.0814,1.6854,6.672,4.832217,3.320922,4.128458,3.843753
SAO JOAO DA PONTA,10.036531,1.7454,1.8342,1.425,0.2616,1.728,0.919076,0.609683,0.760781,0.752791
SAO JOAO DE PIRABAS,35.335749,5.7726,6.1332,4.683,1.0656,5.8356,3.511261,2.439101,2.965286,2.930101
SAO JOAO DO ARAGUAIA,23.277017,4.0008,4.1682,3.2922,0.6642,4.041,2.175101,1.477033,1.762451,1.696032
SAO MIGUEL DO GUAMA,94.985687,15.3006,16.5024,12.2028,3.3174,15.3498,9.721508,6.514294,8.236352,7.840533
SAO SEBASTIAO DA BOA VISTA,34.91082,5.4678,5.76,4.8264,0.8766,6.1164,3.163077,2.481496,2.937519,3.281528
SAPUCAIA,8.024957,1.0932,1.3074,0.8982,0.4044,1.275,0.941384,0.617761,0.76678,0.720832
SENADOR JOSE PORFIRIO,29.117725,5.0106,5.289,4.3218,0.7746,5.1408,2.571645,1.781153,2.182401,2.045726
SOURE,36.533268,6.1014,6.6312,5.1018,1.2852,6.5838,3.589882,2.265632,2.571444,2.40291
TAILANDIA,124.669923,18.444,20.7312,14.9052,4.9176,19.812,13.906298,9.398681,11.617216,10.937728
TERRA ALTA,22.247369,3.819,3.9678,3.1506,0.5784,3.7842,2.055943,1.43519,1.743181,1.713055
TERRA SANTA,27.740488,4.5936,4.938,3.7668,0.8988,4.6458,2.779208,1.826097,2.1958,2.096383
TOME-ACU,120.049609,18.5796,20.7828,14.6304,4.6668,18.9558,12.943487,8.623602,10.732682,10.134438
TRACUATEUA,49.066191,8.4444,8.7996,7.2756,1.125,8.4666,4.350014,3.160724,3.772956,3.671297
TRAIRAO,24.370097,3.804,4.101,3.2394,0.726,3.9924,2.483811,1.788102,2.179358,2.056026
TUCUMA,65.023987,8.058,9.8076,5.6502,3.5814,9.1038,8.916443,5.677338,7.413509,6.815697
TUCURUI,164.596745,23.8986,27.2448,17.9004,7.218,25.3038,19.633977,12.728746,15.878513,14.789909
ULIANOPOLIS,38.647321,6.174,6.7266,5.0664,1.2348,6.315,3.94828,2.699353,3.323037,3.159851
URUARA,70.904548,10.8552,11.9568,9.4368,2.2044,11.5314,7.279768,5.245621,6.40327,5.991289
VIGIA,90.656057,14.2956,15.3312,11.391,3.0084,14.5212,9.624403,6.513578,8.185312,7.785364
VISEU,90.272044,15.1704,16.1922,13.2258,2.5254,15.765,8.066718,5.715192,6.982104,6.62923
VITORIA DO XINGU,20.582101,2.9886,3.4008,2.3178,0.876,3.1926,2.408527,1.560982,1.989453,1.847339
XINGUARA,75.60523,9.8646,11.9022,7.5966,3.7428,11.1918,9.596989,6.299804,7.949877,7.46056
